id,text,next_question_label,question_id
346,"Вы думаете о Вселенной — бесконечной, равнодушной и удивительно хорошо организованной для хаоса.","14",212
347,"Вы пытаетесь осмыслить всё сразу: жизнь, Вселенную и остальное, но мысль ускользает.","14",212
348,"Вы решаете, что думать — занятие переоценённое, и возвращаетесь к реальности.","5",212
349,"Вы возмущаетесь, потому что чай — это вопрос принципа, а не вкуса.","9",213
350,"Вы пытаетесь улучшить напиток научным методом, добавляя ингредиенты сомнительного происхождения.","17",213
351,"Вы философски принимаете чай как символ несовершенства Вселенной.","12",213
352,"Вы отвлекаетесь и спрашиваете, где ваше полотенце.","3",213
353,"Вы отвечаете: «Любовь». Это звучит красиво, но Вселенная выглядит разочарованной.","9",214
354,"Вы честно говорите: «Деньги». Вселенная вздыхает и делает пометку.","9",214
355,"Вы уверенно и без лишних слов произносите: 42. Вселенная одобрительно молчит. Это хороший знак.","20",214
356,"Вы заявляете, что вопрос сформулирован некорректно. Вселенная кивает, но продолжает эксперимент.","9",214
357,"Вы благодарите Вселенную за то, что она сегодня в хорошем настроении.","16",215
358,"Вы долго и искренне удивляетесь происходящему.","12",215
359,"Вы проверяете, действительно ли вы живы, на всякий случай.","5",215
360,"Вы решаете, что это странно, но, вероятно, нормально.","17",215
361,"Вы решаете продолжить путешествие, не вдаваясь в детали.","20",216
362,"Вы задаёте ещё один вопрос, потому что не умеете останавливаться.","14",216
363,"Вы расслабляетесь и позволяете событиям происходить.","12",216
364,"Вы автоматически проверяете, при вас ли полотенце.","3",216
365,"Вы искренне сочувствуете ему. Андроид растерян: такого он не ожидал.","12",217
366,"Вы позволяете ему высказаться. Через некоторое время жалеете об этом.","9",217
367,"Вы спрашиваете его о смысле жизни. Он подтверждает, что всё плохо.","14",217
368,"Вы медленно отходите, стараясь не привлекать внимания.","16",217
369,"Вы почтительно кланяетесь, считая это уместным.","12",218
370,"Вы улыбаетесь, демонстрируя уверенность, которой у вас нет.","16",218
371,"Вы прямо спрашиваете: «Ну и что дальше?»","20",218
372,"Вы решаете убежать, пока всё снова не усложнилось.","9",218
373,"Вы делаете вывод и принимаете его без проверки.","20",219
374,"Вы решаете всё усложнить, потому что слишком просто не бывает.","9",219
375,"Вы спрашиваете ещё раз, на всякий случай.","14",219
376,"Вы напоминаете себе главное правило — не паниковать.","16",219
377,"Всегда носи полотенце","+810",220
378,"Не паникуй","+810",220
379,"Ответ — 42","+810",220
380,"Всё вышеперечисленное","+810",220
